Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:50:04,2018-03-22 09:50:04,0.078s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:50:04,2018-03-22 09:50:07,3.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:50:07,2018-03-22 09:50:07,0.109s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:50:07,2018-03-22 09:50:10,3.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u542F\u7528\u6309\u94AE,2018-03-22 09:50:10,2018-03-22 09:50:10,0.134s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:50:10,2018-03-22 09:50:11,1.074s,PASSED
verifyElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:50:11,2018-03-22 09:50:11,0.118s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:50:11,2018-03-22 09:50:12,1.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u7981\u7528\u6309\u94AE,2018-03-22 09:50:12,2018-03-22 09:50:12,0.059s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:50:12,2018-03-22 09:50:12,0.066s,PASSED
verifyElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:50:12,2018-03-22 09:50:14,1.088s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u67E5\u770B\u8BE6\u60C5,2018-03-22 09:50:14,2018-03-22 09:50:14,0.898s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:50:14,2018-03-22 09:50:16,2.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u8FD4\u56DE\u5217\u8868,2018-03-22 09:50:16,2018-03-22 09:50:17,0.396s,PASSED
,,,,,,
Test Cases/jinxiaocun/chengpinguanli/chengpinguanli-liebiaocaozuo,Chrome 65.0.3325.162,,2018-03-22 09:50:17,2018-03-22 09:50:59,42.324s,FAILED
callTestCase,Chrome 65.0.3325.162,,2018-03-22 09:50:17,2018-03-22 09:50:26,8.906s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-22 09:50:26,2018-03-22 09:50:29,3.109s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u7BA1\u7406,2018-03-22 09:50:29,2018-03-22 09:50:29,0.158s,PASSED
waitForElementVisible,Chrome 65.0.3325.162,\u7B49\u5F85\u6210\u54C1\u5217\u8868\u5B50\u83DC\u5355,2018-03-22 09:50:29,2018-03-22 09:50:29,0.059s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u6210\u54C1\u5217\u8868,2018-03-22 09:50:29,2018-03-22 09:50:30,1.018s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:50:30,2018-03-22 09:50:34,4.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:50:34,2018-03-22 09:50:34,0.215s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:50:34,2018-03-22 09:50:34,0.164s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u641C\u7D22\u7ED3\u679C,2018-03-22 09:50:34,2018-03-22 09:50:37,3.002s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:50:37,2018-03-22 09:50:38,0.185s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u5217\u8868\u6570\u636E,2018-03-22 09:50:38,2018-03-22 09:50:40,2.001s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:50:40,2018-03-22 09:50:40,0.226s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:50:40,2018-03-22 09:50:42,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:50:42,2018-03-22 09:50:42,0.354s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u641C\u7D22,2018-03-22 09:50:42,2018-03-22 09:50:42,0.113s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u641C\u7D22\u7ED3\u679C,2018-03-22 09:50:42,2018-03-22 09:50:44,2.006s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u5237\u65B0,2018-03-22 09:50:44,2018-03-22 09:50:44,0.103s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u5217\u8868\u6570\u636E,2018-03-22 09:50:44,2018-03-22 09:50:46,2.003s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u7528\u9014,2018-03-22 09:50:46,2018-03-22 09:50:47,0.209s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:50:47,2018-03-22 09:50:49,2.002s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E8C\u7EA7\u5206\u7C7B,2018-03-22 09:50:49,2018-03-22 09:50:49,0.376s,PASSED
delay,Chrome 65.0.3325.162,\u7B49\u5F85\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:50:49,2018-03-22 09:50:51,2.000s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u4E09\u7EA7\u5206\u7C7B,2018-03-22 09:50:51,2018-03-22 09:50:59,8.066s,FAILED
